sample,event,species,type,lab,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-1000um,length_1001-2000um,length_2001-3000,length_3001-4000um,length_4001-5000,length_>5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
13ANIENV-DISS,13,ANI,env,Hardy301,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13ANIENV-DIG,13,ANI,env,Hardy301,7,1,3,0,3,0,7,0,7,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2
13ANIENV-MIC,13,ANI,env,Chem305,4,0,2,0,2,0,3,1,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
13ANIPRO,13,ANI,pro,Hardy301,2,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
26ANIENV-DISS,26,ANI,env,Both,4,1,0,0,2,1,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
26ANIENV-DIG,26,ANI,env,Chem305,3,2,2,2,0,0,5,1,3,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0
26ANIENV-MIC,26,ANI,env,Chem305,0,,,,,,,,,,,,,,,,,,,,,,,,,
26ANIPRO,26,ANI,pro,Chem305,5,1,0,3,1,0,5,0,5,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0
13NOGENV-DISS,13,NOG,env,Hardy301,3,0,1,0,1,1,2,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
13NOGENV-DIG,13,NOG,env,Hardy301,11,1,4,0,1,5,11,0,11,0,0,0,0,0,0,0,0,1,5,0,0,3,1,0,0,1
13NOGPRO,13,NOG,pro,Hardy301,9,0,3,4,2,0,9,0,7,2,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,2
26NOGENV-DISS,26,NOG,env,Chem305,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26NOGENV-DIG,26,NOG,env,Chem305,4,1,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
26NOGPRO,26,NOG,pro,Chem305,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53NOGENV-DISS,53,NOG,env,Chem305,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53NOGENV-DIG,53,NOG,env,Chem305,2,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
53NOGPRO,53,NOG,pro,Chem305,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
