id,event,species,sample,filtered,fp_type,particle_id,plastic_composite,microplastic,size_mm,type,colour,colcat,polymer,colcat-polymer,polymer_bin,spectra-allpro,spectra-batchpro,remove-polymer-allpro,subtract-polymer-allpro,subtract-mean-polymer-allpro,remove-polymer-batchpro,subtract-polymer-batchpro,lod-polymer-allpro,loq-polymer-allpro,remove_polymer+colcat_allpro,subtract_polymer+colour_allpro,remove_polymer+colour_batchpro,subtract_polymer+colour_batchpro,lod-polymer+colour-allpro,loq-polymer+colour-allpro,count-y-alltechniques,remove>half-alltechniques,count-y-polymer+colcattechniques,remove>half-polymer+colcattechniques
13-ANI-03,13,ANI,03,07,dig,13ANI03-7D_f1-1_D2_p1,Plastic,MMP,0.099,MFR,LT-BN,YL,EVA,YL_EVA,EVA,Y,N,Y,Y,0.6,N,N,Y,Y,Y,N,N,N,Y,Y,8,Y,3,N
13-ANI-03,13,ANI,03,21,dig,13ANI03-21D_f1-2_B5_p1,Composite,MMP,0.084,MFR,BL,BL,PEST,BL_PEST,PEST,Y,Y,Y,Y,0.4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,14,Y,6,Y
13-ANI-03,13,ANI,03,21,dig,13ANI03-21D_f2-2_C4_p1,Plastic,MMP,0.111,MFR,CL-BK,BK,PA,BK_PA,PA,Y,N,Y,Y,0.8,N,N,Y,Y,Y,Y,N,N,Y,Y,9,Y,4,Y
13-ANI-03,13,ANI,03,21,dig,13ANI03-21D_f2-2_C6_p3,Plastic,MMP,0.087,MFR,GN,BL,PUR,BL_PUR,PUR,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
13-ANI-03,13,ANI,03,21,dig,13ANI03-21D_f2-2_C8_p1,Plastic,MMP,0.104,MFR,DK-GN,BL,PMA,BL_PMA,PMA,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
13-ANI-04,13,ANI,04,14,dig,13ANI04-14D_f1-1_C5p1,Plastic,MMP,0.031,MFR,TQ,BL,SAE,BL_SAE,OTHER,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
13-ANI-04,13,ANI,04,21,dig,13ANI04-21D_f1-1_C4_p1,Plastic,MMP,0.077,MFR,TQ,BL,SAE,BL_SAE,OTHER,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
13-ANI-05,13,ANI,05,07,dig,13ANI05-7D_f1-1_D4_p1,Composite,MMP,0.102,MFR,BL,BL,PEST,BL_PEST,PEST,N,N,Y,Y,0.7,Y,Y,Y,Y,Y,Y,Y,N,N,Y,10,Y,4,Y
13-ANI-05,13,ANI,05,21,dig,13ANI-05-21D_f1-2_B7_p1,Composite,MMP,0.152,MFR,TQ,BL,PEST,BL_PEST,PEST,Y,N,Y,Y,0.7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,13,Y,6,Y
13-ANI-06,13,ANI,06,21,dig,13ANI06-21D_f1-1_C7_p1,Composite,MMP,0.123,MFR,GN,BL,PNMA,BL_PNMA,PNMA,Y,N,Y,Y,0.8,N,N,Y,Y,N,N,N,N,N,N,5,N,0,N
13-ANI-10,13,ANI,10,07,dig,13ANI10-7D_f1-1_E6_p2,Composite,MMP,0.037,MFR,TQ,BL,PEST,BL_PEST,PEST,Y,Y,Y,Y,0.4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,14,Y,6,Y
13-ANI-10,13,ANI,10,14,dig,13ANI10-14D_f1-1_postpick_p1,Plastic,MMP,0.221,MFR,CL-TQ,BL,PP,BL_PP,PP,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
13-ANI-12,13,ANI,12,14,dig,13ANI12-14D_f1-1_C4_p1,Plastic,MP,2.038,FB,BL,BL,PET,BL_PET,PET,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
13-ANI-12,13,ANI,12,14,dig,13ANI12-14D_f1-1_D7_p1,Plastic,MMP,0.055,MFR,GR,BL,PMA,BL_PMA,PMA,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
13-NOG-01,13,NOG,01,21,dig,13NOG01-21D-b2-2_f1-1_D8_p1,Plastic,MMP,0.363,MFR,GN,BL,PMA,BL_PMA,PMA,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
13-NOG-02,13,NOG,02,14,dig,13NOG02-14D_b2-2_f1-1_B6_p1,Composite,MMP,0.111,MFB,BK,BK,PP,BK_PP,PP,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
13-NOG-03,13,NOG,03,07,dig,13NOG03-07D_b1-2_f1-1_D6_p1,Composite,MMP,0.055,MFR,RD,RD,PNMA,RD_PNMA,PNMA,N,N,Y,Y,0.8,N,N,Y,Y,N,N,N,N,N,N,4,N,0,N
26-ANI-02,26,ANI,02,21,dig,26ANI02-21D_f1-1_F7_p1,Plastic,MMP,0.086,MFR,GY,BK,ASA+PS,BK_ASA+PS,OTHER,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
26-ANI-06,26,ANI,06,14,dig,26ANI06-14D_f1-1_A7_p1,Composite,MMP,0.093,MFR,YL,YL,PNMA,YL_PNMA,PNMA,N,N,Y,Y,0.8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,12,Y,6,Y
26-ANI-06,26,ANI,06,21,dig,26ANI06-21D_f2-2_C4_p1,Composite,MMP,0.072,MFR,BL-WT,BL,PEST-PB,BL_PEST-MIX,PEST-MIX,Y,N,Y,Y,-0.8,Y,Y,Y,Y,Y,Y,N,N,Y,Y,11,Y,4,Y
26-ANI-07,26,ANI,07,21,dig,26ANI07-21D_f1-1_C5_p1,Plastic,MMP,0.059,MFR,BL,BL,PMA,BL_PMA,PMA,Y,N,N,N,1,N,N,N,N,N,N,N,N,N,N,1,N,0,N
26-ANI-08,26,ANI,08,07,dig,26ANI08-7D_f1-1_C8_p1,Composite,MMP,0.064,MFR,BN,YL,PA,YL_PA,PA,Y,Y,Y,Y,0.8,Y,Y,Y,Y,N,N,N,N,N,N,8,Y,0,N
26-ANI-08,26,ANI,08,21,dig,26ANI08-21D_f1-1_D6_p1,Plastic,MMP,0.184,MFR,BL,BL,PMA,BL_PMA,PMA,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
26-ANI-09,26,ANI,09,07,dig,26ANI09-7D_f1-1_A6_p1,Plastic,MMP,0.097,MFR,BK,BK,PBS,BK_PBS,OTHER,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
26-ANI-09,26,ANI,09,21,dig,26ANI09-21D_f1-2_postpick_p1,Plastic,MMP,0.089,MFR,GR,BL,PMA,BL_PMA,PMA,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
26-NOG-07,26,NOG,07,14,dig,26NOG07-14D_f1-1_E5_p1,Composite,MMP,0.154,MFR,PK,RD,PE-PEST,RD_PEST-MIX,PEST-MIX,Y,N,Y,Y,-0.8,N,N,Y,Y,Y,Y,N,N,Y,Y,9,Y,4,Y
26-NOG-07,26,NOG,07,21,dig,26NOG07-21D_f1-2_C4_p1,Composite,MMP,0.044,MFR,RD,RD,PE-PP,RD_PE-PP,OTHER,N,N,N,N,1,N,N,N,N,Y,Y,N,N,N,N,2,N,2,N
26-NOG-08,26,NOG,08,21,dig,26NOG08-21D_f1-1_C5_p1,Composite,MMP,0.069,MFR,YL,YL,PE,YL_PE,PE,Y,N,N,N,1,N,N,N,N,N,N,N,N,N,N,1,N,0,N
26-NOG-09,26,NOG,09,14,dig,26NOG09-14D_f1-1_E7_p1,Plastic,MMP,0.342,MFR,BL,BL,PP,BL_PP,PP,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
26-NOG-10,26,NOG,10,14,dig,26NOG10-14D_f1-1_D6_p1,Plastic,MMP,0.337,MFB,BK,BK,PET,BK_PET,PET,N,N,N,N,1,N,N,N,N,N,N,N,N,N,N,0,N,0,N
