sample,event,species,type,lab,contamination,plastic-composite,length_mm,girth_mm,gapetosnout_mm,vmo_mm,hmo_mm,weight_g,gut_g,stomach_fullness_index,heart_g,liver_g,condition,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-100um,length_101-200um,length_201-300,length_301-400um,length_401-500,length_501-5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
13ANI01,13,ANI,dig,Hardy301,original,plastic,252,115,30.34,25.24,32.12,123.0,5.461,2,1.077,na,0.768605502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI01,13,ANI,dig,Hardy301,extreme,plastic,252,115,30.34,25.24,32.12,123.0,5.461,2,1.077,na,0.768605502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI01,13,ANI,dig,Hardy301,conservative,plastic,252,115,30.34,25.24,32.12,123.0,5.461,2,1.077,na,0.768605502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI01,13,ANI,dig,Hardy301,original,composite,252,115,30.34,25.24,32.12,123.0,5.461,2,1.077,na,0.768605502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI01,13,ANI,dig,Hardy301,extreme,composite,252,115,30.34,25.24,32.12,123.0,5.461,2,1.077,na,0.768605502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI01,13,ANI,dig,Hardy301,conservative,composite,252,115,30.34,25.24,32.12,123.0,5.461,2,1.077,na,0.768605502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI02,13,ANI,dig,Hardy301,original,plastic,257,117,32.61,28.05,36.42,132.5,6.4,4,1.137,na,0.780578362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI02,13,ANI,dig,Hardy301,extreme,plastic,257,117,32.61,28.05,36.42,132.5,6.4,4,1.137,na,0.780578362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI02,13,ANI,dig,Hardy301,conservative,plastic,257,117,32.61,28.05,36.42,132.5,6.4,4,1.137,na,0.780578362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI02,13,ANI,dig,Hardy301,original,composite,257,117,32.61,28.05,36.42,132.5,6.4,4,1.137,na,0.780578362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI02,13,ANI,dig,Hardy301,extreme,composite,257,117,32.61,28.05,36.42,132.5,6.4,4,1.137,na,0.780578362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI02,13,ANI,dig,Hardy301,conservative,composite,257,117,32.61,28.05,36.42,132.5,6.4,4,1.137,na,0.780578362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI03,13,ANI,dig,Hardy301,original,plastic,266,119,34.66,36.96,37.51,157.1,6.007,2,1.404,na,0.834701656,4,1,2,0,1,0,4,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
13ANI03,13,ANI,dig,Hardy301,extreme,plastic,266,119,34.66,36.96,37.51,157.1,6.007,2,1.404,na,0.834701656,2,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13ANI03,13,ANI,dig,Hardy301,conservative,plastic,266,119,34.66,36.96,37.51,157.1,6.007,2,1.404,na,0.834701656,3,0,2,0,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
13ANI03,13,ANI,dig,Hardy301,original,composite,266,119,34.66,36.96,37.51,157.1,6.007,2,1.404,na,0.834701656,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13ANI03,13,ANI,dig,Hardy301,extreme,composite,266,119,34.66,36.96,37.51,157.1,6.007,2,1.404,na,0.834701656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI03,13,ANI,dig,Hardy301,conservative,composite,266,119,34.66,36.96,37.51,157.1,6.007,2,1.404,na,0.834701656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI04,13,ANI,dig,Hardy301,original,plastic,250,110,33.34,39.47,37.61,124.0,4.984,3,1.062,na,0.7936,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13ANI04,13,ANI,dig,Hardy301,extreme,plastic,250,110,33.34,39.47,37.61,124.0,4.984,3,1.062,na,0.7936,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13ANI04,13,ANI,dig,Hardy301,conservative,plastic,250,110,33.34,39.47,37.61,124.0,4.984,3,1.062,na,0.7936,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13ANI04,13,ANI,dig,Hardy301,original,composite,250,110,33.34,39.47,37.61,124.0,4.984,3,1.062,na,0.7936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI04,13,ANI,dig,Hardy301,extreme,composite,250,110,33.34,39.47,37.61,124.0,4.984,3,1.062,na,0.7936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI04,13,ANI,dig,Hardy301,conservative,composite,250,110,33.34,39.47,37.61,124.0,4.984,3,1.062,na,0.7936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,original,plastic,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,extreme,plastic,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,conservative,plastic,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,original,composite,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,extreme,composite,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,conservative,composite,231,113,31.5,41.87,39.51,102.2,5.96,3,0.958,na,0.829115351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
