sample,event,species,type,lab,contamination,length_mm,weight_g,weight_category,moutharea,moutharea_category,gut_g,condition,condition_category,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-100um,length_101-200um,length_201-300,length_301-400um,length_401-500,length_501-5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
13ANI01,13,ANI,dig,Hardy301,original,252,123,101–137,636.4,6.11–8.51,5.461,0.768605502,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI01,13,ANI,dig,Hardy301,extreme,252,123,101–137,636.4,6.11–8.51,5.461,0.768605502,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI01,13,ANI,dig,Hardy301,conservative,252,123,101–137,636.4,6.11–8.51,5.461,0.768605502,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI02,13,ANI,dig,Hardy301,original,257,132.5,101–137,801.9,6.11–8.51,6.4,0.780578362,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI02,13,ANI,dig,Hardy301,extreme,257,132.5,101–137,801.9,6.11–8.51,6.4,0.780578362,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI02,13,ANI,dig,Hardy301,conservative,257,132.5,101–137,801.9,6.11–8.51,6.4,0.780578362,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI03,13,ANI,dig,Hardy301,original,266,157.1,137–174,1088.3,8.51–10.90,6.007,0.834701656,BCS3,5,1,3,0,1,0,5,0,3,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
13ANI03,13,ANI,dig,Hardy301,extreme,266,157.1,137–174,1088.3,8.51–10.90,6.007,0.834701656,BCS3,2,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13ANI03,13,ANI,dig,Hardy301,conservative,266,157.1,137–174,1088.3,8.51–10.90,6.007,0.834701656,BCS3,3,0,2,0,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
13ANI04,13,ANI,dig,Hardy301,original,250,124,101–137,1165.3,10.90–13.30,4.984,0.7936,BCS2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13ANI04,13,ANI,dig,Hardy301,extreme,250,124,101–137,1165.3,10.90–13.30,4.984,0.7936,BCS2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13ANI04,13,ANI,dig,Hardy301,conservative,250,124,101–137,1165.3,10.90–13.30,4.984,0.7936,BCS2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13ANI05,13,ANI,dig,Hardy301,original,231,102.2,101–137,1298.6,10.90–13.30,5.96,0.829115351,BCS2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
13ANI05,13,ANI,dig,Hardy301,extreme,231,102.2,101–137,1298.6,10.90–13.30,5.96,0.829115351,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
13ANI05,13,ANI,dig,Hardy301,conservative,231,102.2,101–137,1298.6,10.90–13.30,5.96,0.829115351,BCS2,0,,,,,,,,,,,,,,,,,,,,,,,,,
