id,size_mm,type,weight,moutharea,gut_weight
13-ANI-03,0.099,MFR,157.1,1088.3,6.007
13-ANI-03,0.084,MFR,157.1,1088.3,6.007
13-ANI-03,0.111,MFR,157.1,1088.3,6.007
13-ANI-03,0.087,MFR,157.1,1088.3,6.007
13-ANI-03,0.104,MFR,157.1,1088.3,6.007
13-ANI-04,0.031,MFR,124,1165.3,4.984
13-ANI-04,0.077,MFR,124,1165.3,4.984
13-ANI-05,0.102,MFR,102.2,1298.6,5.96
13-ANI-05,0.152,MFR,102.2,1298.6,5.96
13-ANI-06,0.123,MFR,128.9,1258.3,6.064
13-ANI-10,0.037,MFR,106,639.9,5.211
13-ANI-10,0.221,MFR,106,639.9,5.211
13-ANI-12,2.038,FB,125.1,796,6.053
13-ANI-12,0.055,MFR,125.1,796,6.053
13-NOG-01,0.363,MFR,56.7,230.3,7.836
13-NOG-02,0.111,MFB,143,412.8,13.411
13-NOG-03,0.055,MFR,129.2,471.5,10.662
26-ANI-02,0.086,MFR,74.2,399.2,4.197
26-ANI-06,0.093,MFR,151,580.1,12.536
26-ANI-06,0.072,MFR,151,580.1,12.536
26-ANI-07,0.059,MFR,68.7,339,5.689
26-ANI-08,0.064,MFR,108.2,461.6,8.842
26-ANI-08,0.184,MFR,108.2,461.6,8.842
26-ANI-09,0.097,MFR,145.2,589.1,13.316
26-ANI-09,0.089,MFR,145.2,589.1,13.316
26-NOG-07,0.154,MFR,96.9,296.3,8.062
26-NOG-07,0.044,MFR,96.9,296.3,8.062
26-NOG-08,0.069,MFR,28.7,132.6,2.601
26-NOG-09,0.342,MFR,88.1,192.8,8.081
26-NOG-10,0.337,MFB,132.8,246.9,10.563
26-NOG-10,0.516,MFB,132.8,246.9,10.563
53-NOG-07,0.14,MFR,150.6,405.9,10.995
